Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
1,50.0,39.0,90.0,2335.9,65.0,-76.04,120.0,23.57,1.53,55.0,9581.06,58.32,53.23,75.43,66.75,54.41,90.07,1827.5,101.73,40.35,3,2134.89,66.22,1.09,120.23,64.15,36.6,73,-78.81,1
1,50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,22.61,1.53,55.0,9587.55,57.45,53.23,75.43,66.75,54.41,90.75,1782.75,100.04,51.21,3,1160.83,62.39,1.09,120.23,64.47,36.59,72,-79.85,1
1,50.0,39.0,90.0,2335.9,58.0,-80.0,120.0,22.06,1.53,55.0,9587.55,47.33,53.23,75.43,66.75,54.34,89.72,1789.23,89.69,55.99,3,1789.23,60.93,1.09,120.23,64.47,36.47,73,-80.2,1
1,50.0,39.0,90.0,2335.9,58.0,-72.25,120.0,20.8,1.53,55.0,9612.84,47.49,53.23,75.43,66.75,54.41,89.0,1815.18,52.42,53.1,3,2103.11,61.81,1.09,120.23,64.47,36.97,74,-77.39,1
1,50.0,39.0,90.0,2335.9,58.0,-57.16,120.0,18.27,1.53,55.0,9574.58,58.45,53.23,68.25,66.75,54.26,89.72,1846.95,65.3,48.05,3,1597.28,63.32,1.09,120.23,65.53,37.23,76,-68.93,1
1,50.0,39.0,90.0,2335.9,58.0,-44.69,120.0,16.27,1.53,55.0,9612.84,46.59,53.23,68.25,66.75,54.26,90.07,1872.24,89.98,44.21,3,2603.11,63.61,1.09,120.23,65.53,38.03,79,-57.63,1
1,50.0,39.0,80.0,2335.9,58.0,-44.69,120.0,16.13,1.53,55.0,9734.76,58.32,53.23,68.25,66.75,54.26,90.07,1872.24,88.63,44.11,3,2603.11,63.61,1.09,120.23,65.53,38.01,81,-56.56,1
1,50.0,39.0,80.0,2335.9,58.0,-41.91,120.0,16.06,1.53,55.0,9850.84,49.99,53.23,68.25,66.75,54.19,81.94,1878.73,57.13,43.61,3,2385.21,61.59,1.09,120.23,74.5,38.28,82,-54.45,1
1,50.0,39.0,80.0,2335.9,58.0,-39.09,120.0,8.9,1.53,53.36,10023.35,46.24,53.23,68.25,66.75,53.36,79.84,2071.34,53.93,41.89,3,2513.62,58.97,1.09,119.91,77.64,43.75,88,-43.18,1
1,50.0,39.0,80.0,2335.9,58.0,-38.18,120.0,8.9,1.53,53.36,10023.35,46.24,53.23,68.25,66.75,53.36,79.84,2071.34,53.93,41.89,3,2513.62,58.97,1.09,119.91,77.64,43.75,88,-43.18,1
1,50.0,39.0,80.0,2335.9,56.0,-39.09,120.0,8.9,1.53,53.36,10023.35,46.24,53.23,68.25,66.75,53.36,79.84,2071.34,53.93,41.89,3,2513.62,58.97,1.09,119.91,77.64,43.75,88,-43.18,1
1,50.0,39.0,80.0,2335.9,56.0,-36.56,120.0,5.6,1.53,53.36,9978.6,58.22,53.23,68.25,66.75,53.36,79.84,2096.63,54.73,40.01,3,2596.63,58.97,1.09,119.91,77.64,44.14,89,-42.15,1
1,25.0,39.0,80.0,2335.9,56.0,-36.56,120.0,1.42,1.53,53.36,9991.57,2.95,53.23,68.25,66.75,52.77,79.48,2167.32,53.77,40.41,3,3096.63,57.23,1.09,119.91,77.64,46.74,90,-40.72,1
2,50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,40.68,1.29,54.32,10190.01,57.39,48.67,60.02,60.14,54.16,54.09,1590.79,45.44,28.5,3,5544.1,72.92,1.23,119.91,76.1,82.03,85,-56.24,1
2,50.0,43.0,54.0,2609.3,73.0,-55.87,120.0,41.34,1.29,53.54,10196.5,57.29,48.67,60.02,60.14,53.46,54.09,1622.57,45.57,28.53,3,6031.13,72.92,1.23,119.91,76.1,82.23,85,-55.88,1
2,50.0,43.0,54.0,2609.3,73.0,-60.5,120.0,43.03,1.29,53.31,10234.76,52.01,48.1,60.02,60.14,52.38,56.9,1673.8,45.57,28.2,3,1610.25,72.7,1.23,120.23,76.1,82.46,84,-58.34,1
2,50.0,43.0,57.0,2609.3,73.0,-60.5,120.0,43.92,1.29,53.31,10222.44,57.13,48.1,60.02,60.14,51.61,57.97,1661.48,45.57,28.53,3,5646.56,72.7,1.23,119.91,74.66,82.64,83,-61.55,1
2,50.0,43.0,62.0,2609.3,73.0,-60.5,120.0,44.8,1.29,51.45,10202.98,50.79,48.1,60.02,60.14,51.77,60.08,1693.26,45.57,28.67,3,5089.49,72.47,1.23,119.91,74.66,82.73,83,-64.72,1
2,50.0,43.0,62.0,2609.3,73.0,-66.93,120.0,44.75,1.29,51.45,10209.47,50.21,48.1,60.02,60.14,51.92,64.68,1718.55,45.57,28.37,3,5287.94,72.47,1.23,119.91,74.66,82.72,82,-64.72,1
2,50.0,43.0,62.0,2609.3,73.0,-68.7,120.0,45.18,1.29,51.45,10209.47,56.97,48.1,60.02,60.14,52.38,60.79,1706.23,45.63,28.64,3,5230.22,72.47,1.23,119.91,74.66,82.56,80,-67.54,1
2,50.0,43.0,62.0,2609.3,73.0,-66.94,120.0,46.55,1.29,52.15,10177.04,57.1,49.09,60.02,60.14,51.15,62.9,1699.74,45.63,28.8,3,1603.76,72.47,1.23,120.23,71.52,82.83,79,-67.86,1
2,50.0,43.0,62.0,2609.3,73.0,-67.94,120.0,47.08,1.29,52.15,10234.76,57.1,49.09,60.02,60.14,50.45,62.18,1712.71,45.63,28.6,3,5332.69,73.07,1.23,119.91,71.52,83.0,79,-67.86,1
2,50.0,43.0,67.0,2609.3,73.0,-67.94,120.0,47.51,1.29,52.15,10202.98,49.03,49.09,60.02,60.14,49.9,62.18,1731.52,45.63,28.8,3,5300.91,73.07,1.23,119.91,71.52,83.06,79,-68.22,1
2,50.0,43.0,68.0,2609.3,73.0,-67.94,120.0,47.65,1.29,52.15,10196.5,49.03,49.09,60.02,60.14,49.9,64.68,1744.49,45.63,28.57,3,1616.08,73.07,1.23,119.91,71.52,83.08,79,-68.58,1
2,50.0,43.0,68.0,2609.3,73.0,-73.39,120.0,47.92,1.29,49.29,10228.28,57.17,48.58,60.02,60.14,49.36,67.82,1827.5,46.18,28.8,3,1686.77,73.07,1.23,119.91,70.62,83.32,78,-71.39,1
2,50.0,43.0,75.0,2609.3,73.0,-73.39,120.0,48.03,1.29,49.29,10202.98,46.88,48.58,60.02,60.14,49.29,68.89,1827.5,46.18,28.7,3,1673.8,73.07,1.23,119.91,70.62,83.33,78,-72.11,1
2,50.0,43.0,75.0,2609.3,73.0,-79.16,120.0,48.3,1.29,49.29,10241.25,56.91,48.58,60.02,60.14,49.59,75.24,1853.44,46.18,29.04,3,4481.19,71.8,1.23,119.58,70.62,83.37,76,-76.0,1
2,50.0,43.0,75.0,2609.3,73.0,-79.94,120.0,48.56,1.29,49.29,10183.53,56.97,48.58,60.02,60.14,49.83,75.24,1917.64,46.05,28.97,3,4551.23,71.8,1.23,119.91,70.62,83.31,75,-77.39,1
2,50.0,43.0,75.0,2609.3,73.0,-79.16,120.0,49.25,1.29,49.9,10196.5,56.97,49.09,59.47,60.14,49.83,75.24,1891.7,46.11,29.31,3,1699.74,73.38,1.23,119.91,66.62,83.17,73,-78.46,1
2,50.0,43.0,75.0,2609.3,73.0,-77.61,120.0,49.59,1.29,49.9,10164.72,56.69,49.09,59.47,60.14,48.82,74.88,1898.18,46.11,29.61,3,1706.23,73.38,1.23,119.91,66.62,83.33,73,-78.1,1
2,50.0,43.0,75.0,2609.3,73.0,-78.63,120.0,49.88,1.29,49.9,10222.44,49.73,49.09,59.47,60.14,47.66,74.88,1904.67,46.37,29.07,3,1725.03,73.38,1.23,119.91,66.62,83.73,72,-78.1,1
2,50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,50.03,1.29,49.9,10196.5,57.45,49.09,59.47,60.14,47.35,74.88,1929.96,46.47,29.07,3,4474.71,73.38,1.23,119.91,66.62,83.78,72,-78.46,1
2,50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,51.2,1.29,46.81,10215.95,56.59,49.09,59.47,59.44,44.42,74.52,1987.68,46.47,28.3,3,4608.95,71.65,1.23,119.91,65.4,84.6,70,-79.85,1
2,50.0,43.0,80.0,2609.3,73.0,-80.0,120.0,51.51,1.29,46.81,10183.53,46.69,49.09,59.47,59.44,44.34,74.17,2000.65,46.47,28.3,3,1769.78,71.65,1.23,119.91,65.4,84.66,70,-80.2,1
2,50.0,43.0,90.0,2609.3,73.0,-80.0,120.0,56.11,1.29,44.03,10190.01,56.75,49.16,59.89,59.44,43.8,80.19,1878.73,46.91,27.32,3,1763.94,64.37,1.23,119.91,63.44,84.88,69,-79.85,1
2,50.0,43.0,90.0,2609.3,73.0,-79.45,120.0,63.69,1.29,49.83,10228.28,56.4,49.16,62.96,59.44,50.14,89.36,1744.49,44.6,29.31,3,1481.19,67.6,1.23,119.91,63.44,83.19,72,-79.85,1
2,50.0,43.0,90.0,2609.3,73.0,-74.46,120.0,64.38,1.29,49.83,10215.95,56.81,49.16,62.96,63.51,50.91,90.07,1680.29,44.67,29.17,3,3603.11,73.6,1.23,119.91,63.35,83.01,74,-77.03,1
2,50.0,43.0,90.0,2609.3,73.0,-72.94,120.0,65.2,1.29,49.83,10209.47,56.62,49.16,62.96,63.51,51.77,89.72,1635.54,44.54,29.0,3,3935.8,73.38,1.23,119.91,63.35,82.74,76,-74.21,1
2,50.0,43.0,90.0,2609.3,73.0,-68.55,120.0,66.22,1.29,49.83,10215.95,56.52,49.16,62.96,63.51,52.92,90.07,1564.85,44.54,28.74,3,1461.74,73.38,1.23,119.91,67.58,82.45,78,-70.36,1
2,50.0,43.0,90.0,2609.3,73.0,-67.8,120.0,66.49,1.29,49.83,10196.5,56.75,49.16,62.96,63.51,53.38,89.72,1603.76,45.12,28.87,3,1519.46,73.07,1.23,119.91,69.15,82.33,79,-68.58,1
2,50.0,43.0,90.0,2609.3,73.0,-69.39,120.0,67.12,1.29,49.83,10196.5,56.43,49.16,62.96,63.51,53.54,89.72,1584.31,45.12,28.97,3,1494.16,72.18,1.23,119.91,69.15,82.28,80,-68.93,1
2,50.0,43.0,90.0,2609.3,73.0,-67.8,120.0,67.6,1.29,49.83,10209.47,47.01,49.16,62.96,63.51,53.85,89.36,1673.8,45.6,28.37,3,1616.08,73.67,1.23,119.91,69.15,82.21,80,-68.58,1
2,50.0,43.0,90.0,2609.3,73.0,-70.15,120.0,67.63,1.29,49.83,10228.28,56.27,49.16,62.96,63.51,54.08,90.07,1859.92,47.07,28.37,3,1802.2,72.47,1.23,119.91,69.15,82.12,80,-68.93,1
2,50.0,43.0,90.0,2609.3,73.0,-77.77,120.0,68.5,1.29,54.24,10190.01,56.91,50.69,62.96,63.51,54.24,89.36,1866.41,46.98,29.24,3,4179.64,70.98,1.23,119.91,68.41,82.08,78,-74.21,1
2,50.0,43.0,90.0,2609.3,73.0,-78.02,120.0,68.13,1.29,54.24,10177.04,56.59,50.69,62.96,63.51,54.16,89.36,1846.95,46.56,29.07,3,1738.0,72.78,1.23,119.91,65.4,82.07,77,-75.64,1
2,50.0,43.0,90.0,2609.3,73.0,-72.56,120.0,68.5,1.29,54.24,10215.95,56.52,50.69,62.96,63.51,53.62,90.75,1853.44,47.2,29.14,3,3603.11,73.98,1.23,119.91,65.4,82.15,77,-72.82,1
2,50.0,43.0,90.0,2609.3,73.0,-73.3,120.0,69.32,1.29,53.31,10190.01,56.49,50.69,62.96,63.51,53.16,90.07,1853.44,47.27,28.6,3,1789.23,72.78,1.23,119.58,66.46,82.28,77,-73.5,1
2,50.0,43.0,90.0,2609.3,73.0,-76.65,120.0,69.64,1.29,53.31,10177.04,56.56,50.69,62.96,63.51,53.23,89.36,1891.7,47.04,29.0,3,4077.17,72.47,1.23,119.91,66.46,82.36,77,-74.93,1
2,50.0,43.0,90.0,2609.3,73.0,-75.66,120.0,70.77,1.29,53.31,10209.47,56.56,50.69,62.96,63.51,53.08,91.11,1885.21,47.2,28.91,3,3596.63,73.38,1.23,119.91,65.14,82.34,76,-75.28,1
2,50.0,43.0,90.0,2609.3,73.0,-77.4,120.0,71.86,1.29,53.31,10202.98,52.49,50.69,62.96,63.51,52.38,89.72,1898.18,47.1,29.0,3,1789.23,73.38,1.23,119.91,65.14,82.47,76,-76.32,1
2,50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,71.67,1.29,53.31,10177.04,56.62,50.69,62.96,63.51,52.23,89.72,1795.72,45.63,29.61,3,1648.51,73.07,1.23,119.91,65.14,82.53,76,-77.03,1
2,50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,71.7,1.29,53.31,10196.5,53.64,50.69,62.96,63.51,51.99,90.07,1795.72,46.14,29.24,3,1718.55,74.27,1.23,119.91,65.14,82.6,76,-76.0,1
2,50.0,43.0,90.0,2609.3,73.0,-73.97,120.0,72.44,1.29,53.31,10190.01,56.43,50.69,62.96,63.51,52.07,90.07,1802.2,46.14,29.38,3,3519.46,74.27,1.23,119.91,65.14,82.62,76,-75.28,1
2,50.0,43.0,90.0,2609.3,73.0,-74.74,120.0,72.59,1.29,53.31,10196.5,56.43,50.69,62.96,63.51,52.07,89.72,1827.5,46.5,28.7,3,1706.23,74.27,1.23,119.91,65.14,82.61,76,-74.57,1
2,50.0,43.0,90.0,2609.3,73.0,-78.04,120.0,73.05,1.29,53.31,10177.04,48.71,50.69,62.96,63.51,51.84,90.07,1821.01,46.27,29.31,3,3904.02,72.18,1.23,119.91,64.89,82.65,76,-76.67,1
2,50.0,43.0,90.0,2609.3,73.0,-79.29,120.0,69.63,1.29,51.23,10196.5,56.49,49.7,62.96,63.51,50.76,90.07,1859.92,46.43,29.27,3,1680.29,73.07,1.23,119.91,64.89,82.97,75,-78.1,1
2,50.0,43.0,90.0,2609.3,73.0,-80.0,120.0,67.43,1.28,51.23,10202.98,56.81,49.7,62.96,63.51,50.61,89.72,1853.44,46.18,29.24,3,3820.36,73.07,1.23,119.91,64.89,82.98,74,-79.13,1
2,50.0,43.0,105.0,2609.3,73.0,-80.0,120.0,69.66,1.28,46.35,10183.53,56.49,49.7,61.01,60.5,45.34,90.07,1872.24,46.11,28.03,3,3756.81,66.4,1.23,119.91,63.09,84.42,73,-79.85,1
2,50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,59.36,1.31,58.25,10215.95,56.65,53.0,66.81,60.85,57.48,106.62,1821.01,47.39,28.77,3,1815.18,71.8,1.23,125.03,72.13,81.12,82,-69.29,1
2,50.0,43.0,105.0,2609.3,73.0,-74.45,125.0,53.26,1.31,58.25,10177.04,53.9,53.0,66.81,61.52,57.25,105.2,1853.44,47.39,29.47,3,1821.01,71.8,1.23,125.03,72.13,81.19,80,-73.18,1
2,50.0,43.0,105.0,2609.3,73.0,-80.0,125.0,39.03,1.31,56.47,10202.98,57.78,50.66,66.81,61.52,55.24,105.2,1942.93,47.62,29.31,3,2545.4,72.78,1.23,125.03,67.45,81.7,76,-78.81,1
2,25.0,43.0,105.0,2609.3,73.0,-80.0,125.0,1.18,1.31,51.53,10196.5,16.13,50.66,66.81,59.82,51.45,104.84,1693.26,44.47,29.41,3,3359.27,69.55,1.23,125.36,64.57,82.76,74,-80.2,1
2,25.0,43.0,105.0,2609.3,73.0,-79.5,125.0,1.55,1.31,51.53,10023.35,44.7,46.72,58.16,29.42,51.45,105.55,1512.97,42.71,29.88,3,1321.01,72.78,1.23,125.03,64.57,82.81,75,-80.2,1
2,25.0,43.0,105.0,2609.3,73.0,-74.18,125.0,1.1,1.31,50.91,9972.11,34.03,45.95,58.16,43.32,50.83,104.84,1507.13,42.81,29.41,3,1340.47,74.73,1.23,125.03,64.12,82.82,76,-77.39,1
2,25.0,43.0,105.0,2609.3,73.0,-74.71,125.0,1.43,1.31,48.43,10017.51,30.77,45.95,57.9,43.32,47.89,105.2,1519.46,43.1,28.87,3,4263.29,73.82,1.23,125.03,65.14,83.17,77,-76.0,1
2,25.0,43.0,105.0,2609.3,73.0,-80.0,125.0,1.6,1.31,48.43,10004.54,39.61,47.75,57.9,47.17,43.88,105.55,1551.88,43.36,28.97,3,3910.51,71.2,1.23,124.71,65.14,84.23,77,-77.74,1
2,25.0,43.0,105.0,2609.3,73.0,-45.0,125.0,1.46,1.31,38.54,10011.02,38.81,48.0,59.12,46.78,37.84,105.2,1616.08,43.36,27.46,3,3436.45,68.2,1.23,124.71,65.14,86.3,75,-79.49,1
2,25.0,43.0,105.0,2609.3,73.0,-80.0,85.0,1.46,1.31,38.54,10011.02,38.81,48.0,59.12,46.78,37.84,105.2,1616.08,43.36,27.46,3,3436.45,68.2,1.23,124.71,65.14,86.3,75,-79.49,1
1,50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,43.61,1.22,41.42,9305.45,57.23,54.38,62.36,63.09,41.86,106.27,2103.11,47.87,26.82,3,1962.39,49.11,0.9,120.23,64.85,48.02,68,-79.85,1
1,50.0,39.0,105.0,2078.95,56.0,-79.99,120.0,43.06,1.22,44.03,9587.55,48.35,52.58,62.36,63.09,44.18,104.48,1987.68,46.66,27.39,3,1693.26,54.26,0.9,119.91,64.85,33.22,68,-79.85,1
1,50.0,39.0,105.0,2078.95,58.0,-79.99,120.0,42.71,1.22,44.03,9876.13,45.54,52.58,62.36,63.09,43.8,105.2,1949.42,46.66,27.39,3,1551.88,54.26,0.9,119.91,64.85,30.86,69,-79.85,1
1,50.0,39.0,105.0,2078.95,60.0,-79.99,120.0,41.23,1.22,43.65,9915.04,46.47,52.58,62.36,63.09,42.69,105.2,1891.7,46.66,27.73,3,1699.74,54.26,0.9,119.91,64.85,26.05,69,-79.85,1
1,50.0,39.0,105.0,2078.95,62.0,-79.99,120.0,40.24,1.22,43.65,10087.55,57.68,51.56,62.36,63.09,42.09,105.2,1923.48,46.01,27.83,3,3321.01,58.97,0.9,119.91,64.85,26.61,69,-80.2,1
1,50.0,39.0,110.0,2078.95,62.0,-79.99,120.0,37.88,1.22,39.93,10100.52,57.71,51.56,62.36,63.09,39.93,104.48,1949.42,47.65,27.49,3,3884.57,58.46,0.9,119.91,64.85,64.03,69,-79.85,1
1,50.0,39.0,110.0,2078.95,62.0,-79.46,120.0,33.04,1.22,41.42,9402.08,49.12,52.87,62.36,63.09,43.96,111.19,1577.82,43.16,27.83,3,1949.42,60.43,0.9,119.58,64.85,84.64,70,-80.2,1
1,50.0,39.0,110.0,2078.95,62.0,-78.09,120.0,33.05,1.22,44.4,9395.59,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,1
1,50.0,39.0,110.0,2078.95,62.0,-78.96,120.0,33.05,1.22,44.4,9382.62,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,1
1,50.0,39.0,110.0,2078.95,64.0,-78.09,120.0,33.05,1.22,44.4,9382.62,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,1
1,50.0,39.0,110.0,2078.95,64.0,-79.99,120.0,32.71,1.22,44.4,9427.37,45.66,52.87,62.36,63.09,44.7,109.44,1635.54,43.42,27.8,3,2852.79,63.32,0.9,119.91,64.28,84.29,71,-79.49,1
1,50.0,39.0,110.0,2078.95,64.0,-79.23,120.0,31.27,1.22,44.4,9318.42,45.38,52.87,62.36,63.09,47.02,110.48,1590.79,43.42,28.2,3,2391.7,64.41,0.9,119.91,64.28,83.72,70,-79.49,1
1,50.0,39.0,110.0,2078.95,65.0,-79.23,120.0,30.88,1.22,44.4,9318.42,57.49,52.87,62.36,63.09,47.61,109.44,1789.23,46.85,27.56,3,2584.31,64.41,0.9,119.91,64.28,83.5,71,-78.81,1
1,50.0,39.0,110.0,2078.95,64.0,-77.83,120.0,30.88,1.22,44.4,9318.42,57.49,52.87,62.36,63.09,47.61,109.44,1789.23,46.85,27.56,3,2584.31,64.41,0.9,119.91,64.28,83.5,71,-78.81,1
1,50.0,39.0,110.0,2078.95,65.0,-79.9,120.0,30.04,1.22,47.69,9324.9,46.72,52.87,62.36,63.09,47.61,109.09,1693.26,44.83,27.56,3,1429.96,64.77,0.9,119.91,64.28,83.38,71,-79.49,1
1,50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,55.96,1.22,44.03,9113.49,57.04,52.45,60.18,62.48,44.63,104.48,1942.93,45.38,25.98,3,1551.88,29.98,0.86,120.56,71.07,41.33,75,-71.75,1
1,50.0,39.0,110.0,2078.95,65.0,-79.74,120.0,53.93,1.22,44.7,9126.46,57.01,56.04,62.74,63.76,43.73,103.81,2167.32,49.48,27.46,3,2000.65,55.64,0.86,119.91,71.07,46.65,69,-79.13,1
1,50.0,39.0,110.0,2078.95,65.0,-79.74,125.0,43.03,1.22,44.33,9132.94,57.26,54.25,62.52,63.76,43.73,109.44,1763.94,44.64,28.1,3,2205.58,62.6,0.86,120.56,66.39,37.71,70,-80.2,1
1,50.0,39.0,115.0,2078.95,65.0,-79.74,125.0,31.52,1.24,39.26,9145.91,48.67,53.0,62.52,63.76,39.33,109.44,1610.25,43.61,27.26,3,2500.65,60.5,0.86,124.71,64.34,85.73,71,-79.85,1
0,50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,38.1,1.49,34.03,9991.57,45.5,47.75,62.1,61.27,34.03,140.12,1738.0,42.71,30.69,3,2077.17,59.7,1.02,125.03,53.84,87.29,63,-89.37,1
0,50.0,39.0,140.0,2566.67,63.0,-89.0,125.0,38.1,1.49,34.03,9991.57,45.5,47.75,62.1,61.27,34.03,140.12,1738.0,42.71,30.69,3,2077.17,59.7,1.02,125.03,53.84,87.29,63,-89.37,1
0,50.0,39.0,140.0,2561.54,63.0,-89.0,125.0,37.84,1.49,34.03,9985.08,56.14,47.75,62.1,61.27,33.95,140.12,1757.46,43.07,30.42,3,2116.08,59.99,1.02,125.03,53.84,87.32,63,-89.01,1
0,50.0,39.0,140.0,2556.41,63.0,-89.0,125.0,37.71,1.49,34.03,10004.54,45.47,47.75,62.1,61.27,33.95,139.4,1757.46,43.13,30.89,3,1263.29,59.99,1.02,125.03,53.84,87.32,63,-89.01,1
0,50.0,39.0,140.0,2551.28,63.0,-89.0,125.0,37.56,1.49,34.03,9959.79,57.61,47.75,62.1,61.27,33.88,140.47,1731.52,42.88,30.62,3,2032.43,59.99,1.02,125.03,53.84,87.34,63,-89.01,1
0,50.0,39.0,140.0,2546.15,63.0,-89.0,125.0,37.72,1.49,34.03,9940.34,49.51,47.75,62.1,61.27,33.95,140.12,1725.03,42.78,30.08,3,1231.52,59.99,1.02,125.03,53.84,87.35,62,-89.01,1
0,50.0,39.0,140.0,2541.03,63.0,-89.0,125.0,37.62,1.49,34.03,9889.11,45.57,47.75,62.1,61.27,33.95,140.12,1731.52,42.91,29.81,3,1244.49,59.99,1.02,125.03,53.84,87.36,62,-88.66,1
0,50.0,39.0,140.0,2535.9,63.0,-89.0,125.0,37.33,1.49,34.03,9889.11,57.55,47.75,62.1,61.27,34.03,140.12,1718.55,42.81,30.62,3,1225.03,59.99,1.02,125.03,53.84,87.36,63,-88.66,1
0,50.0,39.0,140.0,2530.77,63.0,-89.0,125.0,37.38,1.49,34.03,9920.88,46.37,47.75,62.1,61.27,34.25,140.12,1782.75,42.71,30.62,3,1225.03,59.99,1.02,125.03,53.84,87.35,63,-88.66,1
0,50.0,39.0,140.0,2525.64,63.0,-89.0,125.0,37.43,1.49,34.03,9882.62,57.49,47.75,62.1,61.27,34.4,140.47,1757.46,42.84,30.42,3,1289.23,59.99,1.02,125.03,53.84,87.35,62,-89.01,1
0,50.0,39.0,140.0,2525.64,63.0,-45.0,125.0,11.52,1.49,35.82,9869.65,45.09,48.45,62.68,60.46,35.36,140.47,1712.71,42.94,31.03,3,2192.61,59.41,1.02,125.03,52.04,79.69,63,-89.37,1
0,50.0,39.0,104.0,2525.64,63.0,-45.0,125.0,64.55,1.22,35.29,9844.36,79.53,44.28,56.78,50.15,38.21,140.47,1238.0,40.99,24.2,3,770.43,-13.58,1.02,125.03,80.11,15.05,84,-44.61,1
